Date,Open,High,Low,Close,Adj Close,Volume
2007-12-20,61.724.000.000,62.467.000.000,61.416.000.000,61.716.000.000,61.716.000.000,4797200
2007-12-21,61.725.000.000,63.398.000.000,61.725.000.000,63.098.000.000,63.098.000.000,2453000
2007-12-26,63.101.000.000,64.304.000.000,63.101.000.000,64.288.000.000,64.288.000.000,1820200
2007-12-27,64.287.000.000,64.584.000.000,63.590.000.000,63.774.000.000,63.774.000.000,2043800
2007-12-28,63.776.000.000,64.124.000.000,63.598.000.000,63.886.000.000,63.886.000.000,2588600
2008-01-02,63.885.000.000,63.906.000.000,62.659.000.000,62.815.000.000,62.815.000.000,2980200
2008-01-03,62.814.000.000,63.129.000.000,62.556.000.000,62.892.000.000,62.892.000.000,1895800
2008-01-04,62.898.000.000,63.436.000.000,60.574.000.000,61.037.000.000,61.037.000.000,2613800
2008-01-07,61.054.000.000,61.505.000.000,60.092.000.000,60.772.000.000,60.772.000.000,2223400
2008-01-08,60.771.000.000,62.650.000.000,60.771.000.000,62.081.000.000,62.081.000.000,3314000
2008-01-09,62.078.000.000,62.674.000.000,61.487.000.000,62.674.000.000,62.674.000.000,3480400
2008-01-10,62.677.000.000,63.615.000.000,62.594.000.000,63.515.000.000,63.515.000.000,3227000
2008-01-11,63.514.000.000,63.514.000.000,61.942.000.000,61.942.000.000,61.942.000.000,2920600
2008-01-14,61.950.000.000,62.536.000.000,61.643.000.000,62.188.000.000,62.188.000.000,2829000
2008-01-15,62.180.000.000,62.180.000.000,59.897.000.000,59.907.000.000,59.907.000.000,4080800
2008-01-16,59.906.000.000,59.906.000.000,58.077.000.000,58.777.000.000,58.777.000.000,3455400
2008-01-17,58.773.000.000,59.643.000.000,56.734.000.000,57.037.000.000,57.037.000.000,3594000
2008-01-18,57.039.000.000,58.291.000.000,56.241.000.000,57.506.000.000,57.506.000.000,5810600
2008-01-21,57.503.000.000,57.503.000.000,53.487.000.000,53.709.000.000,53.709.000.000,3566400
2008-01-22,53.705.000.000,56.541.000.000,53.610.000.000,56.097.000.000,56.097.000.000,3650200
2008-01-23,56.098.000.000,56.098.000.000,53.011.000.000,54.235.000.000,54.235.000.000,3719400
